Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Biomass,GW/yr,0,0,0,0,0,0,0,78.35525388,21.89135968,4.667144156
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,0,0,0,0,0,0,0,73.96762098,21.89135968,4.667144156
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,0,0,0,0,0,0,0,4.387632901,0,0
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Coal,GW/yr,83.0757392,62.06395626,66.70979771,46.27306242,10.76159251,0.042084251,0,0,0,0
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,83.0757392,62.06395626,66.70979771,46.27306242,10.76159251,0.042084251,0,0,0,0
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Gas,GW/yr,200.0739297,61.80425724,48.2217742,58.60099158,38.45130449,51.81574571,67.62043568,47.04630572,371.8803116,197.0614623
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,0,0,0,0,0,0,0.48048181,1.55325888,0,0
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,200.0739297,61.80425724,48.2217742,58.60099158,38.45130449,51.81574571,67.13995387,45.49304684,371.8803116,197.0614623
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Geothermal,GW/yr,0,0,0.193781449,0.745145162,0.76870889,5.238215769,9.436976362,2.596725404,5.232007606,0.409365121
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Hydro,GW/yr,0,16.96678526,13.54848441,47.34244301,22.64197219,37.13850976,120.4009086,56.07409658,55.62508667,46.82960462
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Nuclear,GW/yr,3.137486064,2.268722184,2.885091486,11.3866344,13.27948696,17.86462065,59.31204566,43.54842402,23.19283237,12.46339406
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Oil,GW/yr,0,6.7092102,4.4728068,0,0,0,0,0,0,0
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Oil|w/o CCS,GW/yr,0,6.7092102,4.4728068,0,0,0,0,0,0,0
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Solar,GW/yr,0,0,0,0.75161619,1.562385584,47.89034207,460.5273364,304.0881634,2966.869938,686.275264
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Solar|CSP,GW/yr,0,0,0,0,0,0,0,0,1.8288722,1.857988029
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Solar|PV,GW/yr,0,0,0,0.75161619,1.562385584,47.89034207,460.5273364,304.0881634,2965.041066,684.417276
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,0,0,0,0.009079472,107.7709749,47.09586002,244.0500769,67.54931765
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Wind,GW/yr,1.394912646,3.639521529,1.875898186,54.12685184,95.66513117,110.689855,855.1440192,495.4873017,1886.81875,944.4410828
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Wind|Offshore,GW/yr,0,0,0,0,0,0,1.239051687,3.627578912,20.7585434,3.406256127
AIM/Technology,1.5C OptBio,World,Capacity Additions|Electricity|Wind|Onshore,GW/yr,1.394912646,3.639521529,1.875898186,54.12685184,95.66513117,110.689855,853.9049676,491.8597228,1866.060207,941.0348267
AIM/Technology,1.5C OptBio,World,Capacity|Electricity,GW,3888.592877,4411.094061,4790.179586,5569.429688,6057.238588,7002.598293,14696.06574,19075.50994,44702.2209,47057.94884
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Biomass,GW,183.083812,180.127176,177.173486,173.088292,167.292018,157.465807,133.553312,485.9170884,501.2330678,524.5687886
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Biomass|w/ CCS,GW,0,0,0,0,0,0,0,369.8381049,479.2949033,502.6306241
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Biomass|w/o CCS,GW,183.083812,180.127176,177.173486,173.088292,167.292018,157.465807,133.553312,116.0789835,21.93816451,21.93816451
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Coal,GW,1156.731368,1351.607809,1552.887548,1660.755836,1565.446059,1448.925661,1334.086156,1187.417123,929.2524657,618.9326844
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Coal|w/o CCS,GW,1156.731368,1351.607809,1552.887548,1660.755836,1565.446059,1448.925661,1334.086156,1187.417123,929.2524657,618.9326844
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Gas,GW,1047.769874,1299.179233,1468.585696,1689.597121,1828.114329,2026.516349,2265.110768,2344.030766,3727.205631,4403.491656
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Gas|w/ CCS,GW,0,0,0,0,0,0,2.402409048,10.16870345,10.16870345,10.16870345
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Gas|w/o CCS,GW,1047.769874,1299.179233,1468.585696,1689.597121,1828.114329,2026.516349,2262.708359,2333.862062,3717.036927,4393.322953
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Geothermal,GW,9.18498,9.13798,9.537257245,12.11835305,13.9432475,38.59075635,84.68492816,95.50366518,121.0578032,123.1046288
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Hydro,GW,645.952702,668.5506463,678.1444683,851.6387724,897.3257084,998.1558732,1525.400773,1742.900098,1971.271744,2153.612908
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Nuclear,GW,374.4061861,380.894797,352.0602544,360.9165264,311.3434612,309.6582645,578.7034928,774.4676129,868.6892887,919.662648
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Oil,GW,362.0067308,394.5899078,415.7747738,413.2617578,402.5469688,376.0945448,300.9348888,238.7205178,185.8781928,155.2315048
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Oil|w/o CCS,GW,362.0067308,394.5899078,415.7747738,413.2617578,402.5469688,376.0945448,300.9348888,238.7205178,185.8781928,155.2315048
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Peak Demand,GW,2141.824692,2489.674128,2802.119084,3082.852852,3168.251442,3329.651873,3824.042552,4848.160178,8255.043867,9388.064873
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Solar,GW,0,0,0,3.758080949,11.57000887,251.0217192,2549.90032,4062.529209,18657.42719,19786.16683
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Solar|CSP,GW,0,0,0,0,0,0,0,0,9.144361,18.43430115
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Solar|PV,GW,0,0,0,3.758080949,11.57000887,251.0217192,2549.90032,4062.529209,18648.28283,19767.73253
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Storage Capacity,GWh,0,0,0,0,0,0.045397358,538.9002721,774.3341748,1455.729685,1557.996973
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Storage,GW,108.062312,107.413991,107.044091,106.083591,101.317381,93.76012836,616.1960731,837.4179818,1494.521625,1586.955263
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Wind,GW,1.394912646,19.59252029,28.97201122,298.2113578,758.339406,1302.40919,5307.495027,7306.60588,16187.25036,16633.73567
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Wind|Offshore,GW,0,0,0,0,0,0,6.195258433,24.33315299,128.12587,138.9618922
AIM/Technology,1.5C OptBio,World,Capacity|Electricity|Wind|Onshore,GW,1.394912646,19.59252029,28.97201122,298.2113578,758.339406,1302.40919,5301.299769,7282.272727,16059.12449,16494.77378
AIM/Technology,1.5C OptBio,World,Capacity|Hydrogen|Electricity,GW,0,0,0,0,0,0,492.3713328,1313.818953,9372.382166,9364.640065
AIM/Technology,1.5C OptBio,World,Carbon Sequestration|CCS,Mt CO2/yr,0,0,0,0,0,0,1428.896669,7320.847339,9399.238776,11477.63021
AIM/Technology,1.5C OptBio,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0,0,0,0,0,0,1146.458875,3190.288489,5413.514357,5485.259311
AIM/Technology,1.5C OptBio,World,Carbon Sequestration|CCS|Biomass|Energy,Mt CO2/yr,0,0,0,0,0,0,1146.458875,3190.288489,5413.514357,5485.259311
