Variable2,Variable
Emi_CO2_Ene_and_Ind_Pro,Emissions|CO2|Energy and Industrial Processes
Fin_Ene,Final Energy
GDP_MER,GDP|MER
POP,Population
Prc_Car,Price|Carbon
Prc_Prm_Ene_Oil,Price|Primary Energy|Oil
Prc_Sec_Ene_Ele,Price|Secondary Energy|Electricity
Prm_Ene,Primary Energy
Prm_Ene_Bio,Primary Energy|Biomass
Prm_Ene_Coa,Primary Energy|Coal
Prm_Ene_Fos,Primary Energy|Fossil
Prm_Ene_Fos_w_CCS,Primary Energy|Fossil|w/ CCS
Prm_Ene_Fos_wo_CCS,Primary Energy|Fossil|w/o CCS
Prm_Ene_Gas,Primary Energy|Gas
Prm_Ene_NonBioRen,Primary Energy|Non-Biomass Renewables
Prm_Ene_Nuc,Primary Energy|Nuclear
Prm_Ene_Oil,Primary Energy|Oil
Prm_Ene_Oth,Primary Energy|Other
Sec_Ene_Ele,Secondary Energy|Electricity
Sec_Ene_Ele_Bio,Secondary Energy|Electricity|Biomass
Sec_Ene_Ele_Coa,Secondary Energy|Electricity|Coal
Sec_Ene_Ele_Gas,Secondary Energy|Electricity|Gas
Sec_Ene_Ele_NonBioRen,Secondary Energy|Electricity|Non-Biomass Renewables
Sec_Ene_Ele_Nuc,Secondary Energy|Electricity|Nuclear
Sec_Ene_Ele_Oil,Secondary Energy|Electricity|Oil
Sec_Ene_Ele_Oth,Secondary Energy|Electricity|Other
Sec_Ene_Liq,Secondary Energy|Liquids
Pol_Cos_Add_Tot_Ene_Sys_Cos,Policy Cost|Additional Total Energy System Cost
Pol_Cos_Are_und_MAC_Cur,Policy Cost|Area under MAC Curve
Pol_Cos_Cns_Los,Policy Cost|Consumption Loss
Pol_Cos_Equ_Var,Policy Cost|Equivalent Variation
Pol_Cos_GDP_Los,Policy Cost|GDP Loss
Pol_Cos_Oth,Policy Cost|Other
Cnc_CO2,Concentration|CO2
CNS,Consumption
Car_Seq_CCS,Carbon Sequestration|CCS
Emi_F_G,Emissions|F-Gases
Fin_Ene_Ele,Final Energy|Electricity
Fin_Ene_Gas,Final Energy|Gases
Fin_Ene_Geo,Final Energy|Geothermal
Fin_Ene_Heat,Final Energy|Heat
Fin_Ene_Hyd,Final Energy|Hydrogen
Fin_Ene_Ind,Final Energy|Industry
Fin_Ene_Ind_Ele,Final Energy|Industry|Electricity
Fin_Ene_Ind_Gas,Final Energy|Industry|Gases
Fin_Ene_Ind_Heat,Final Energy|Industry|Heat
Fin_Ene_Ind_Hyd,Final Energy|Industry|Hydrogen
Fin_Ene_Ind_Liq,Final Energy|Industry|Liquids
Fin_Ene_Ind_Oth,Final Energy|Industry|Other
Fin_Ene_Ind_Solids,Final Energy|Industry|Solids
Fin_Ene_Liq,Final Energy|Liquids
Fin_Ene_Oth,Final Energy|Other
Fin_Ene_Oth_Sec,Final Energy|Other Sector
Fin_Ene_Res_and_Com,Final Energy|Residential and Commercial
Fin_Ene_Res_and_Com_Ele,Final Energy|Residential and Commercial|Electricity
Fin_Ene_Res_and_Com_Gas,Final Energy|Residential and Commercial|Gases
Fin_Ene_Res_and_Com_Heat,Final Energy|Residential and Commercial|Heat
Fin_Ene_Res_and_Com_Hyd,Final Energy|Residential and Commercial|Hydrogen
Fin_Ene_Res_and_Com_Liq,Final Energy|Residential and Commercial|Liquids
Fin_Ene_Res_and_Com_Oth,Final Energy|Residential and Commercial|Other
Fin_Ene_Res_and_Com_Solids,Final Energy|Residential and Commercial|Solids
Fin_Ene_Solar,Final Energy|Solar
Fin_Ene_Solids,Final Energy|Solids
Fin_Ene_Tra,Final Energy|Transportation
Fin_Ene_Tra_Ele,Final Energy|Transportation|Electricity
Fin_Ene_Tra_Gas,Final Energy|Transportation|Gases
Fin_Ene_Tra_Hyd,Final Energy|Transportation|Hydrogen
Fin_Ene_Tra_Liq,Final Energy|Transportation|Liquids
Fin_Ene_Tra_Liq_Coa,Final Energy|Transportation|Liquids|Coal
Fin_Ene_Tra_Liq_Nat_Gas,Final Energy|Transportation|Liquids|Natural Gas
Fin_Ene_Tra_Liq_Oil,Final Energy|Transportation|Liquids|Oil
Fin_Ene_Tra_Oth,Final Energy|Transportation|Other
Frc,Forcing
Frc_CO2,Forcing|CO2
GDP_PPP,GDP|PPP
Inv_Ene_Sup,Investment|Energy Supply
Inv_Ene_Sup_Ele,Investment|Energy Supply|Electricity
Lan_Cov,Land Cover
Lan_Cov_Bui_Are,Land Cover|Built-up Area
Lan_Cov_Cro,Land Cover|Cropland
Lan_Cov_Cro_Irr,Land Cover|Cropland|Irrigated
Lan_Cov_Cro_Ene_Cro,Land Cover|Cropland|Energy Crops
Lan_Cov_Cro_Ene_Cro_Irr,Land Cover|Cropland|Energy Crops|Irrigated
Lan_Cov_Frs,Land Cover|Forest
Lan_Cov_Frs_Aff_and_Ref,Land Cover|Forest|Afforestation and Reforestation
Lan_Cov_Frs_Frs_Har_Are,Land Cover|Forest|Forestry|Harvested Area
Lan_Cov_Frs_Nat_Frs,Land Cover|Forest|Natural Forest
Lan_Cov_Oth_Ara_Lan,Land Cover|Other Arable Land
Lan_Cov_Oth_Lan,Land Cover|Other Land
Lan_Cov_Pst,Land Cover|Pasture
Prc_Prm_Ene_Bio,Price|Primary Energy|Biomass
Prc_Prm_Ene_Coa,Price|Primary Energy|Coal
Prc_Prm_Ene_Gas,Price|Primary Energy|Gas
Prc_Sec_Ene_Liq_Bio,Price|Secondary Energy|Liquids|Biomass
Prc_Agr_NonEneCro_and_Liv_Ind,Price|Agriculture|Non-Energy Crops and Livestock|Index
Prc_Agr_NonEneCro_Ind,Price|Agriculture|Non-Energy Crops|Index
Prm_Ene_Bio_1st_Gen,Primary Energy|Biomass|1st Generation
Prm_Ene_Bio_Ene_Cro,Primary Energy|Biomass|Energy Crops
Prm_Ene_Bio_Rsd,Primary Energy|Biomass|Residues
Prm_Ene_Coa_w_CCS,Primary Energy|Coal|w/ CCS
Prm_Ene_Coa_wo_CCS,Primary Energy|Coal|w/o CCS
Prm_Ene_Gas_w_CCS,Primary Energy|Gas|w/ CCS
Prm_Ene_Gas_wo_CCS,Primary Energy|Gas|w/o CCS
Prm_Ene_Geo,Primary Energy|Geothermal
Prm_Ene_Hyd,Primary Energy|Hydro
Prm_Ene_Oce,Primary Energy|Ocean
Prm_Ene_Oil_w_CCS,Primary Energy|Oil|w/ CCS
Prm_Ene_Oil_wo_CCS,Primary Energy|Oil|w/o CCS
Prm_Ene_Solar,Primary Energy|Solar
Prm_Ene_Win,Primary Energy|Wind
Sec_Ene_Ele_Bio_w_CCS,Secondary Energy|Electricity|Biomass|w/ CCS
Sec_Ene_Ele_Bio_wo_CCS,Secondary Energy|Electricity|Biomass|w/o CCS
Sec_Ene_Ele_Coa_w_CCS,Secondary Energy|Electricity|Coal|w/ CCS
Sec_Ene_Ele_Coa_wo_CCS,Secondary Energy|Electricity|Coal|w/o CCS
Sec_Ene_Ele_Gas_w_CCS,Secondary Energy|Electricity|Gas|w/ CCS
Sec_Ene_Ele_Gas_wo_CCS,Secondary Energy|Electricity|Gas|w/o CCS
Sec_Ene_Ele_Geo,Secondary Energy|Electricity|Geothermal
Sec_Ene_Ele_Hyd,Secondary Energy|Electricity|Hydro
Sec_Ene_Ele_Oil_w_CCS,Secondary Energy|Electricity|Oil|w/ CCS
Sec_Ene_Ele_Oil_wo_CCS,Secondary Energy|Electricity|Oil|w/o CCS
Sec_Ene_Ele_Solar,Secondary Energy|Electricity|Solar
Sec_Ene_Ele_Win,Secondary Energy|Electricity|Wind
Sec_Ene_Gas,Secondary Energy|Gases
Sec_Ene_Heat,Secondary Energy|Heat
Sec_Ene_Hyd,Secondary Energy|Hydrogen
Sec_Ene_Liq_Bio,Secondary Energy|Liquids|Biomass
Sec_Ene_Liq_Coa,Secondary Energy|Liquids|Coal
Sec_Ene_Liq_Coa_w_CCS,Secondary Energy|Liquids|Coal|w/ CCS
Sec_Ene_Liq_Coa_wo_CCS,Secondary Energy|Liquids|Coal|w/o CCS
Sec_Ene_Liq_Fos,Secondary Energy|Liquids|Fossil
Sec_Ene_Liq_Fos_w_CCS,Secondary Energy|Liquids|Fossil|w/ CCS
Sec_Ene_Liq_Fos_wo_CCS,Secondary Energy|Liquids|Fossil|w/o CCS
Sec_Ene_Liq_Gas,Secondary Energy|Liquids|Gas
Sec_Ene_Liq_Gas_w_CCS,Secondary Energy|Liquids|Gas|w/ CCS
Sec_Ene_Liq_Gas_wo_CCS,Secondary Energy|Liquids|Gas|w/o CCS
Sec_Ene_Liq_Oil,Secondary Energy|Liquids|Oil
Sec_Ene_Liq_Oth,Secondary Energy|Liquids|Other
Sec_Ene_Solids,Secondary Energy|Solids
Tem_Glo_Mea,Temperature|Global Mean
Trd_Prm_Ene_Coa_Vol,Trade|Primary Energy|Coal|Volume
Trd_Prm_Ene_Gas_Vol,Trade|Primary Energy|Gas|Volume
Trd_Prm_Ene_Oil_Vol,Trade|Primary Energy|Oil|Volume
Trd_Sec_Ene_Ele_Vol,Trade|Secondary Energy|Electricity|Volume
Cnc_CH4,Concentration|CH4
Cnc_N2O,Concentration|N2O
Car_Seq_CCS_Bio,Carbon Sequestration|CCS|Biomass
